            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2453946.500000000, A.D. 2006-Jul-30 00:00:00.0000,      65.183325, -5.138286586601037E+08, -6.239641681838943E+08,  1.408837922407573E+07,  9.932981757694078E+00, -7.697381589816070E+00, -1.902610088148231E-01,
2453949.500000000, A.D. 2006-Aug-02 00:00:00.0000,      65.183249, -5.112498148010264E+08, -6.259540385191224E+08,  1.403894308044577E+07,  9.965559440632525E+00, -7.656772483942111E+00, -1.911919492478575E-01,
2453952.500000000, A.D. 2006-Aug-05 00:00:00.0000,      65.183175, -5.086624681358795E+08, -6.279334727689242E+08,  1.398926225280020E+07,  9.998715267789564E+00, -7.616613829093166E+00, -1.921412232252400E-01,
2453955.500000000, A.D. 2006-Aug-08 00:00:00.0000,      65.183103, -5.060663782090179E+08, -6.299021146338125E+08,  1.393935346210030E+07,  1.003113104672341E+01, -7.573083117582998E+00, -1.929685138155031E-01,
2453958.500000000, A.D. 2006-Aug-11 00:00:00.0000,      65.183033, -5.034621644310662E+08, -6.318602786876464E+08,  1.388919759153652E+07,  1.006522971084893E+01, -7.534952072533439E+00, -1.939686955279756E-01,
2453961.500000000, A.D. 2006-Aug-14 00:00:00.0000,      65.182966, -5.008490806747742E+08, -6.338078932574798E+08,  1.383880634089518E+07,  1.009819091551860E+01, -7.493680744871877E+00, -1.948704505123864E-01,
2453964.500000000, A.D. 2006-Aug-17 00:00:00.0000,      65.182901, -4.982275450666493E+08, -6.357445444353516E+08,  1.378818966506660E+07,  1.012888244281054E+01, -7.451469433335900E+00, -1.957700209067719E-01,
2453967.500000000, A.D. 2006-Aug-20 00:00:00.0000,      65.182839, -4.955974758614005E+08, -6.376706764603565E+08,  1.373733100553092E+07,  1.016402231923163E+01, -7.409033050932761E+00, -1.966041019515670E-01,
2453970.500000000, A.D. 2006-Aug-23 00:00:00.0000,      65.182781, -4.929590494108592E+08, -6.395855995242492E+08,  1.368625390858534E+07,  1.019422781734810E+01, -7.367372017367522E+00, -1.975307374246169E-01,
2453973.500000000, A.D. 2006-Aug-26 00:00:00.0000,      65.182725, -4.903125670648252E+08, -6.414899424300853E+08,  1.363493197469774E+07,  1.022613416529571E+01, -7.326501403809669E+00, -1.984692041449563E-01,
