 *******************************************************************************
Target body name: Venus (299)                     {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2018-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2019-Jan-02 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}   
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
******************************************************************************************************************************************************************************************************************
$$SOE
2458457.250000000, A.D. 2018-Dec-04 18:00:00.0000,      69.183166, -1.091780819582712E+07,  1.070382528239165E+08,  2.098733730225943E+06, -3.495912474019377E+01, -3.742578079709534E+00,  1.966059626444706E+00,
2458457.291666667, A.D. 2018-Dec-04 19:00:00.0000,      69.183167, -1.104365348140079E+07,  1.070247056842053E+08,  2.105810094983228E+06, -3.495491475035563E+01, -3.783609877474241E+00,  1.965253673615805E+00,
2458457.333333333, A.D. 2018-Dec-04 20:00:00.0000,      69.183168, -1.116948352406972E+07,  1.070110108383865E+08,  2.112883553407855E+06, -3.495065646054898E+01, -3.824637018702984E+00,  1.964444997359134E+00,
2458457.375000000, A.D. 2018-Dec-04 21:00:00.0000,      69.183169, -1.129529814996235E+07,  1.069971683033277E+08,  2.119954095697381E+06, -3.494634987541850E+01, -3.865659445704263E+00,  1.963633598734488E+00,
2458457.416666667, A.D. 2018-Dec-04 22:00:00.0000,      69.183170, -1.142109718522399E+07,  1.069831780961038E+08,  2.127021712053172E+06, -3.494199499967912E+01, -3.906677100790283E+00,  1.962819478805664E+00,
2458457.458333333, A.D. 2018-Dec-04 23:00:00.0000,      69.183171, -1.154688045601705E+07,  1.069690402339975E+08,  2.134086392680496E+06, -3.493759183811605E+01, -3.947689926277036E+00,  1.962002638640462E+00,
2458457.500000000, A.D. 2018-Dec-05 00:00:00.0000,      69.183172, -1.167264778852126E+07,  1.069547547344993E+08,  2.141148127788395E+06, -3.493314039558470E+01, -3.988697864484404E+00,  1.961183079310683E+00,
2458457.541666667, A.D. 2018-Dec-05 01:00:00.0000,      69.183173, -1.179839900893401E+07,  1.069403216153072E+08,  2.148206907589823E+06, -3.492864067701076E+01, -4.029700857736227E+00,  1.960360801892125E+00,
2458457.583333333, A.D. 2018-Dec-05 02:00:00.0000,      69.183174, -1.192413394347048E+07,  1.069257408943267E+08,  2.155262722301610E+06, -3.492409268739016E+01, -4.070698848360419E+00,  1.959535807464585E+00,
2458457.625000000, A.D. 2018-Dec-05 03:00:00.0000,      69.183175, -1.204985241836403E+07,  1.069110125896713E+08,  2.162315562144458E+06, -3.491949643178904E+01, -4.111691778689031E+00,  1.958708097111857E+00,
2458457.666666667, A.D. 2018-Dec-05 04:00:00.0000,      69.183176, -1.217555425986635E+07,  1.068961367196617E+08,  2.169365417343006E+06, -3.491485191534385E+01, -4.152679591058362E+00,  1.957877671921729E+00,
2458457.708333333, A.D. 2018-Dec-05 05:00:00.0000,      69.183177, -1.230123929424774E+07,  1.068811133028264E+08,  2.176412278125800E+06, -3.491015914326122E+01, -4.193662227809035E+00,  1.957044532985984E+00,
2458457.750000000, A.D. 2018-Dec-05 06:00:00.0000,      69.183178, -1.242690734779739E+07,  1.068659423579015E+08,  2.183456134725317E+06, -3.490541812081806E+01, -4.234639631286091E+00,  1.956208681400397E+00,
2458457.791666667, A.D. 2018-Dec-05 07:00:00.0000,      69.183179, -1.255255824682361E+07,  1.068506239038303E+08,  2.190496977378026E+06, -3.490062885336152E+01, -4.275611743839078E+00,  1.955370118264736E+00,
2458457.833333333, A.D. 2018-Dec-05 08:00:00.0000,      69.183180, -1.267819181765408E+07,  1.068351579597641E+08,  2.197534796324298E+06, -3.489579134630900E+01, -4.316578507822141E+00,  1.954528844682757E+00,
2458457.875000000, A.D. 2018-Dec-05 09:00:00.0000,      69.183181, -1.280380788663610E+07,  1.068195445450614E+08,  2.204569581808537E+06, -3.489090560514810E+01, -4.357539865594115E+00,  1.953684861762207E+00,
